Titre;Auteur;Année;Précision;Genre littéraire;Pays
La storia;Elsa Morante;1974;Année;Romanesque (roman);Italie
Mémoires d'Hadrien;Marguerite Yourcenar;1951;Année;Romanesque (roman);France/Etats-Unis
Hamlet;William Shakespeare;1603;Année;Théâtre (tragédie);Royaume-Uni
Lolita;Vladimir Nabokov;1955;Année;Romanesque (roman);Russie/Etats-Unis
À la recherche du temps perdu;Marcel Proust;1913-1927;Année;Romanesque (roman);France
Décaméron;Boccace;1349-1353;Année;Romanesque (recueil de nouvelles);Italie
L'Aveuglement;José Saramago;1995;Année;Romanesque (roman);Portugal
Les Aventures de Huckleberry Finn;Mark Twain;1884;Année;Romanesque (roman picaresque);Etats-Unis
Récits divers;Anton Tchekhov;1886;Année;Romanesque (récits);Empire russe
Essais;Michel de Montaigne;1595;Année;Argumentation (essai philosophique);France
Odyssée;Homère;-850;Siècle;Poésie (épopée);Grèce antique
Énéide;Virgile;-29;Année;Poésie (épopée);Rome antique
Absalon, Absalon !;William Faulkner;1936;Année;Romanesque (roman);Etats-Unis
Une vie à coucher dehors;Sylvain Tesson;2009;Année;Romanesque (nouvelles);France
La Reconnaissance de Shâkountalâ;Kâlidâsa;200;Siècle;Théâtre (drame);Inde
Cent ans de solitude;Gabriel García Márquez;1967;Année;Romanesque (roman);Colombie
Saga de Njáll le Brûlé;Anonyme;1200;Siècle;Romanesque (saga islandaise);Islande
Romancero gitano;Federico García Lorca;1928;Année;Poésie (recueil de poèmes);Espagne
Le Tambour;Günter Grass;1959;Année;Romanesque (roman);Allemagne
Homme invisible, pour qui chantes-tu ?;Ralph Ellison;1952;Année;Romanesque (roman);Etats-Unis
Nostromo;Joseph Conrad;1904;Année;Romanesque (roman);Royaume-Uni
Moby Dick;Herman Melville;1851;Année;Romanesque (roman);Etats-Unis
Alexis Zorba;Níkos Kazantzákis;1946;Année;Romanesque (roman);Grèce
La Conscience de Zeno;Italo Svevo;1923;Année;Romanesque (roman);Italie
Anna Karénine;Léon Tolstoï;1877;Année;Romanesque (roman);Empire russe
Les nouvelles de...;Franz Kafka;1924;Année;Romanesque (nouvelles);Autriche-Hongrie/Tchécoslovaquie
Les Mille et Une Nuits;Anonyme;800;Siècle;Romanesque (recueil de contes);Civilisation islamique
Voyage au bout de la nuit;Louis-Ferdinand Céline;1932;Année;Romanesque (roman);France
Mahâbhârata;Anonyme;-300;Siècle;Poésie (épopée);Inde
Mrs Dalloway;Virginia Woolf;1925;Année;Romanesque (roman);Royaume-Uni
Pedro Páramo;Juan Rulfo;1955;Année;Romanesque (roman);Mexique
Les Buddenbrook;Thomas Mann;1901;Année;Romanesque (roman);Allemagne
Jacques le fataliste et son maître;Denis Diderot;1796;Année;Romanesque (roman);France
La Promenade au phare;Virginia Woolf;1927;Année;Romanesque (roman);Royaume-Uni
Masnavî;Djalâl ad-Dîn Rûmî;1200;Siècle;Poésie (recueil de poèmes mystiques);Iran
Le Dit du Genji;Murasaki Shikibu;1000;Siècle;Romanesque (roman);Japon
1984;George Orwell;1949;Année;Romanesque (roman);Royaume-Uni
Iliade;Homère;-850;Siècle;Poésie (épopée);Grèce antique
L'Homme sans qualités;Robert Musil;1930-1932;Année;Romanesque (roman inachevé);Autriche
Guerre et Paix;Léon Tolstoï;1865-1869;Année;Romanesque (roman);Empire russe
Java in a Nutshell;Benjamin J.  Evans and David Flanagan;2015;Année;Technique;Etats-Unis
L'Idiot;Fiodor Dostoïevski;1869;Année;Romanesque (roman);Empire russe
Le Livre de l'intranquillité;Fernando Pessoa;1982;Année;Poésie (recueil de poèmes en prose, de pensées, d'aphorismes …);Portugal
Le Père Goriot;Honoré de Balzac;1835;Année;Romanesque (roman);France
Othello ou le Maure de Venise;William Shakespeare;1622;Année;Théâtre (tragédie);Royaume-Uni
Orgueil et Préjugés;Jane Austen;1813;Année;Romanesque (roman);Royaume-Uni
Ulysse;James Joyce;1922;Année;Romanesque (roman);Irlande
Les Frères Karamazov;Fiodor Dostoïevski;1880;Année;Romanesque (roman);Empire russe
Crime et Châtiment;Fiodor Dostoïevski;1866;Année;Romanesque (roman);Empire russe
Don Quichotte;Miguel de Cervantes;1605-1615;Année;Romanesque (roman);Espagne
Les poèmes de...;Giacomo Leopardi;1818;Année;Poésie (œuvre poétique);Italie
Fictions;Jorge Luis Borges;1944;Année;Romanesque (recueil de nouvelles);Argentine
Le Bruit et la Fureur;William Faulkner;1929;Année;Romanesque (roman);Etats-Unis
Une maison de poupée;Henrik Ibsen;1879;Année;Théâtre (pièce de théâtre);Norvège
Le Roi Lear;William Shakespeare;1608;Année;Théâtre (tragédie);Royaume-Uni
L'Amour aux temps du choléra;Gabriel García Márquez;1985;Année;Romanesque (roman);Colombie
Le Carnet d'or;Doris Lessing;1962;Année;Romanesque (roman);Royaume-Uni
Gargantua et Pantagruel;François Rabelais;1532-1534;Année;Romanesque (romans);France
Le Procès;Franz Kafka;1925;Année;Romanesque (roman);Autriche-Hongrie/Tchécoslovaquie
Le Rouge et le Noir;Stendhal;1830;Année;Romanesque (roman);France
Saison de la migration vers le nord;Tayeb Salih;1971;Année;Romanesque (roman);Soudan
Les Hauts de Hurlevent;Emily Brontë;1847;Année;Romanesque (roman);Royaume-Uni
Vie et opinions de Tristram Shandy, gentilhomme;Laurence Sterne;1760;Année;Romanesque (roman);Irlande
Œdipe roi;Sophocle;-430;Année;Théâtre (tragédie);Grèce antique
Les Grandes Espérances;Charles Dickens;1861;Année;Romanesque (roman);Royaume-Uni
L'Étranger;Albert Camus;1942;Année;Romanesque (roman);Roumanie
Faust;Johann Wolfgang von Goethe;1808;Année;Théâtre (tragédie);Allemagne
Le Château;Franz Kafka;1926;Année;Romanesque (roman);Autriche-Hongrie/Tchécoslovaquie
Fifi Brindacier;Astrid Lindgren;1945;Année;Romanesque (roman);Suède
La Mort d'Ivan Ilitch;Léon Tolstoï;1886;Année;Romanesque (roman);Empire russe
Le Vieil Homme et la Mer;Ernest Hemingway;1952;Année;Romanesque (roman);Etats-Unis
Médée;Euripide;-431;Année;Théâtre (tragédie);Grèce antique
Madame Bovary;Gustave Flaubert;1857;Année;Romanesque (roman);France
Les Métamorphoses;Ovide;100;Siècle;Poésie (poème épique);Rome antique
Gens indépendants;Halldór Laxness;1934-1935;Année;Romanesque (roman);Islande
Le Journal d'un fou;Lu Xun;1918;Année;Romanesque (nouvelle);Chine
Divine Comédie;Dante Alighieri;1300;Année;Poésie (épopée);Italie
Livre de Job;Anonyme;-500;Siècle;Écrit religieux (poème en prose);Empire achéménide
Le Grondement de la montagne;Yasunari Kawabata;1954;Année;Romanesque (roman);Japon
Middlemarch;George Eliot;1871;Année;Romanesque (roman);Royaume-Uni
Le monde s'effondre;Chinua Achebe;1958;Année;Romanesque (roman);Nigeria
Ramayana;Valmiki;-200;Siècle;Poésie (épopée);Inde
Les Démons;Fiodor Dostoïevski;1872;Année;Romanesque (roman);Empire russe
Trilogie : Molloy, Malone meurt, L'Innommable;Samuel Beckett;1951-1953;Année;Romanesque (trilogie romanesque);Irlande
Les Âmes mortes;Nicolas Gogol;1842;Année;Romanesque (roman);Empire russe
Feuilles d'herbe;Walt Whitman;1855;Année;Poésie (recueil de poèmes);Etats-Unis
Contes;Hans Christian Andersen;1835-1837;Année;Romanesque (recueil de contes);Danemark
Épopée de Gilgamesh;Anonyme;-1900;Siècle;Poésie (épopée);Mésopotamie
Le Jardin des fruits;Saadi;1257;Année;Poésie (recueil de poèmes);Iran
L'Éducation sentimentale;Gustave Flaubert;1869;Année;Romanesque (roman);France
Les Contes de Canterbury;Geoffrey Chaucer;1500;Siècle;Romanesque (recueil de nouvelles);Royaume-Uni
La Faim;Knut Hamsun;1890;Année;Romanesque (roman);Norvège
Les Enfants de minuit;Salman Rushdie;1981;Année;Romanesque (roman);Inde/Royaume-Uni
Beloved;Toni Morrison;1987;Année;Romanesque (roman);Etats-Unis
Les Fils de la Médina;Naguib Mahfouz;1959;Année;Romanesque (roman);Égypte
Les Voyages de Gulliver;Jonathan Swift;1726;Année;Romanesque (roman);Irlande
La Montagne magique;Thomas Mann;1924;Année;Romanesque (roman);Allemagne
Berlin Alexanderplatz;Alfred Döblin;1929;Année;Romanesque (roman);Allemagne
Les Contes d'...;Edgar Allan Poe;1800;Siècle;Romanesque (nouvelles et contes);Etats-Unis
Diadorim (Grande Sertão: veredas);João Guimarães Rosa;1956;Année;Romanesque (roman);Brésil
